PERIODO,ESTACION,PRECIPITACION,MEDIA,MINIMA,MAXIMA,RADIACION,PM10,PM25,LLUVIA_BIN
2011-01-01,APODACA (DGE),0.780243608,12.48551368,7.485513682,17.48551368,185.2845845,54.50603413,15.6509183,1
2011-01-02,APODACA (DGE),0.0,17.43372221,12.43372221,22.43372221,190.4871038,37.90523065,26.94489365,0
2011-01-03,APODACA (DGE),0.0,21.61146174,16.61146174,26.61146174,208.6631275,60.48707126,33.27703557,0
2011-01-04,APODACA (DGE),2.746577742,24.77566617,19.77566617,29.77566617,252.368115,46.4197062,24.303014,1
2011-01-05,APODACA (DGE),41.09479728,25.10949106,20.10949106,30.10949106,283.0758051,50.72680524,22.94253428,1
2011-01-06,APODACA (DGE),48.66148769,29.92485871,24.92485871,34.92485871,244.0319804,64.94938227,25.20662816,1
2011-01-07,APODACA (DGE),71.28604811,30.83130277,25.83130277,35.83130277,247.9838333,54.73471899,23.66179455,1
2011-01-08,APODACA (DGE),82.70156163,21.74554516,16.74554516,26.74554516,243.5135855,43.97179344,27.16131475,1
2011-01-09,APODACA (DGE),71.69167896,20.58474821,15.58474821,25.58474821,209.317392,48.89334631,20.51678886,1
2011-01-10,APODACA (DGE),62.62975543,17.2615856,12.2615856,22.2615856,151.3951767,46.25177943,19.8072809,1
2011-01-11,APODACA (DGE),5.530862768,12.59694349,7.596943493,17.59694349,178.3398569,63.28640828,26.56592237,1
2011-01-12,APODACA (DGE),0.902449177,14.91180839,9.91180839,19.91180839,163.1136453,43.05399631,19.22818666,1
2012-01-01,APODACA (DGE),0.0,14.29194936,9.291949357,19.29194936,179.0695322,49.0337633,22.92016536,0
2012-01-02,APODACA (DGE),0.0,19.21649238,14.21649238,24.21649238,175.2430212,57.76027914,19.98891491,0
2012-01-03,APODACA (DGE),0.0,19.06642962,14.06642962,24.06642962,212.4789678,59.75312458,27.57814044,0
2012-01-04,APODACA (DGE),24.67633168,27.04428509,22.04428509,32.04428509,228.4449526,46.69210776,21.09900435,1
2012-01-05,APODACA (DGE),49.95862356,26.53462594,21.53462594,31.53462594,276.7067355,58.9295387,34.14810101,1
2012-01-06,APODACA (DGE),43.85470111,31.42464432,26.42464432,36.42464432,304.2247775,43.82358323,17.32479876,1
2012-01-07,APODACA (DGE),36.44086564,30.35362729,25.35362729,35.35362729,235.0540171,46.27680947,27.18656594,1
2012-01-08,APODACA (DGE),72.77763305,26.85088973,21.85088973,31.85088973,248.3343478,62.78865813,20.2384181,1
2012-01-09,APODACA (DGE),54.48608907,20.45468111,15.45468111,25.45468111,232.4528772,59.00398588,27.2561266,1
2012-01-10,APODACA (DGE),67.752405,15.64391827,10.64391827,20.64391827,220.0083617,65.23238622,28.67810999,1
2012-01-11,APODACA (DGE),56.72698363,11.75855035,6.758550354,16.75855035,168.8320078,42.64696539,28.60739662,1
2012-01-12,APODACA (DGE),0.0,15.5149903,10.5149903,20.5149903,190.5580422,56.952029,26.41875512,0
2013-01-01,APODACA (DGE),0.0,13.37809484,8.378094837,18.37809484,195.4430134,57.79349004,24.8049024,0
2013-01-02,APODACA (DGE),0.0,13.94838425,8.948384254,18.94838425,178.9372137,69.11419087,18.59772214,0
2013-01-03,APODACA (DGE),0.0,24.01488795,19.01488795,29.01488795,201.17616,51.84710475,29.68957769,0
2013-01-04,APODACA (DGE),10.18748983,31.73680611,26.73680611,36.73680611,219.9710111,60.5872853,24.13599131,1
2013-01-05,APODACA (DGE),41.57880232,29.81081753,24.81081753,34.81081753,252.3039272,52.28996392,15.71049274,1
2013-01-06,APODACA (DGE),59.04871251,30.59631693,25.59631693,35.59631693,279.5799025,60.58118325,26.8380992,1
2013-01-07,APODACA (DGE),66.86235745,27.16606656,22.16606656,32.16606656,252.6179587,61.8673462,32.18167703,1
2013-01-08,APODACA (DGE),66.42834346,26.09200549,21.09200549,31.09200549,231.4307844,61.72756845,28.32708412,1
